Reference, Value, Footprint, Datasheet, Mouser Part No., Supplier, Part Number,  Mouser Part No.
P3,Raspberry_Pi_+_Conn,project:pin_socket_20x2,,517-30340-6002,Farnell,2310167,
U2,CAT24C04WI-GT3 ,project:CAT24C04WI-GT3,,698-CAT24C32YI-GT3,Farnell,2463704,
R1,1k,project:r_0805,,754-RR0510P-102D,Farnell,9237496,
P1,CONN_01X02,project:pin_strip_2,,,Farnell,1593411,
R3,3.9k,project:r_0805,,71-CRCW04023K90FKED,Farnell,2303613,
R5,3.9k,project:r_0805,,71-CRCW04023K90FKED,Farnell,2303613,
U4,LM1117IMPX-ADJ,project:sot223,,926-M1117IMPXADJNOPB,Farnell,2463930,
C6,10uf/6.3V,project:c_elec_4x5.3,,5985-AVS16V100-F,Farnell,2466348,
R8,390,project:r_0805,,594-MCT06030C3900FP5,Farnell,1100311,
R9,240,project:r_0805,,754-RR0816P-241D,Farnell,2303483,
C7,0.1uf,project:c_0805,,810-C1005X5R1H104K,Farnell,499687,
P2,CONN_01X02,project:mkds_1.5-2,,,Farnell,2008004,651-1904383
C4,0.1uf,project:c_0805,,810-C1005X5R1H104K,Farnell,499687,
C8,1uf,project:c_0805,,810-C1005X5R1H104K,Farnell,2118131,
P4,CONN_01X02,project:Pin_Header_Straight_1x02,,,Farnell,2008004,
BT1,Battery,project:BATTERY_KEYSTONE_12mm,,,Farnell,1650692,
X1,CRYSTAL,project:XTAL_ABRACON_ABS07,,,Farnell,2467865,
R13,4.7K,project:r_0805,,,Farnell,9234098,
IC1,DS1307ZN+,project:DS1307,,,Farnell,2798724RL,
R16,4.7K,project:r_0805,,,Farnell,9234098,
P5,CONN_01X06,project:mkds_1.5-6,,,Farnell,2008008,
P6,CONN_01X02,project:pin_strip_2,,,Farnell,1593411,
U1,OKI-78SR-5/1.5_DC/DC_converter,project:oki-78sr-5_1.5,
